player_ID,player_name,player_dmg,player_kills,player_assists,player_dist_walk,player_dist_ride,player_survive_time,game_size,team_id,team_placement,party_size,match_mode,match_id,date
10023,XombieMarine,151,1,1,2065.498,0,968.96,37,33,19,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10024,Essaldun,17,1,0,2076.4502,0,1049.804,37,33,19,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10025,JoeyGames123,0,0,0,444.7796,0,336.433,37,37,31,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10026,KeyBoardSucker,124,1,0,537.9968,0,292.827,37,37,31,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10027,Chefraykwon,24,0,0,578.5747,0,558.314,37,38,27,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10028,CytricS,71,0,0,1497.04932,0,558.31,37,38,27,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10029,Zaerki,144,1,1,1772.93481,2319.07251,1573.835,37,39,9,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10030,FumaKT,55,1,0,1956.62646,2306.78271,1573.84,37,39,9,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10031,Killertofu1987,1,0,0,883.9554,2266.167,1403.829,37,43,12,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10032,Sircool,46,0,0,1518.98328,1539.77234,1403.824,37,43,12,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10033,SlashTheSoviet,218,3,1,3760.31,586.986145,1664.845,37,46,7,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10034,Cruz914,476,4,1,3646.13965,353.071,1750.095,37,46,7,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10035,LJLCC,119,0,0,2275.223,0,959.191,37,48,22,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10036,MingXiaoYa,24,0,0,2199.581,0,959.196,37,48,22,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10037,WangZhengWei666,0,0,0,0,0,801.852,37,50,35,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10038,990906max,0,0,0,0,0,800.87,37,50,35,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10039,Mstrshake01,20,0,0,108.830986,528.386963,305.771,37,3,32,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10040,BruteSlayer99,61,0,0,238.410522,551.524231,305.773,37,3,32,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10041,ThatsOneMadman,0,0,0,2284.52344,0,1091.307,37,6,14,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10042,pretzelboss,344,2,0,2594.24927,0,1349.412,37,6,14,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10043,Lepore24,170,2,0,1669.84058,3316.71,1822.552,37,18,6,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10044,Reboke,100,1,0,1350.44287,3298.972,1750.842,37,18,6,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10045,PsychoticOtter,0,0,0,413.8818,0,382.572,37,23,29,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10046,Kenallai,43,0,0,396.32312,0,401.705,37,23,29,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10047,captainterrenc3,10,1,0,2282.25879,1822.52844,1570.284,37,27,10,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10048,Dexter2003,238,1,1,2187.497,1780.61646,1570.278,37,27,10,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10049,Riyyaaaaa,17,0,0,102.174828,0,234.314,37,34,33,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10050,CityOfStarYFQ,0,0,0,0,0,800.868,37,34,33,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
10051,TheLnofJake,100,1,1,647.4725,0,373.905,37,40,30,2,tpp,2U4GBNA0YmnNZYkzjkfgN4ev-hXSrak_BSey_YEG6kIuDG9fxFrrePqnqiM39pJO,2017-11-26T20:59:40+0000
